Number of nodes= 82
Number of caregiver= 15 
Number of group=3 

Caregiver_cost=
121	163	198	146	174	119	119	139	132	143	147	157	113	107	140


Caregiver in group=
Group_1:1	6	7	13	14			
Group_2:2	4	8	9	10	11	12	15
Group_3:3	5						
							
	
			
skill matrix=
Caregiver1:0	7	8	13	17	18	20	22	23	24	28	31	38	40	41	44	45	55	57	58	60	62	63	65	66	71	72	74	79	81				Caregiver2:0	1	2	6	7	8	9	12	13	14	15	16	17	18	19	20	22	23	24	25	26	27	28	29	30	31	32	33	34	36	37	38	39	40	41	43	44	45	48	49	50	51	53	55	57	58	59	60	61	62	63	65	66	67	68	69	70	71	72	73	74	75	77	81
Caregiver3:0	1	2	3	4	5	6	9	10	11	12	14	15	16	19	21	25	26	27	29	30	32	33	34	35	36	37	39	42	43	46	47	48	49	50	51	52	53	54	56	59	61	64	67	68	69	70	73	75	76	77	78	80	81		Caregiver4:0	1	2	3	4	5	6	9	10	11	12	14	15	16	19	21	25	26	27	29	30	32	33	34	35	36	37	39	42	43	46	47	48	49	50	51	52	53	54	56	59	61	64	67	68	69	70	73	75	76	77	78	80	81		
Caregiver5:0	1	2	3	4	5	6	9	10	11	12	14	15	16	19	21	25	26	27	29	30	32	33	34	35	36	37	39	42	43	46	47	48	49	50	51	52	53	54	56	59	61	64	67	68	69	70	73	75	76	77	78	80	81		
Caregiver6:0	1	2	6	9	12	14	15	16	19	25	26	27	29	30	32	33	34	36	37	39	43	48	49	50	51	53	59	61	67	68	69	70	73	75	77	81								
Caregiver7:0	3	4	5	10	11	21	35	42	46	47	52	54	56	64	76	78	80	81				
Caregiver8:0	1	2	6	7	8	9	12	13	14	15	16	17	18	19	20	22	23	24	25	26	27	28	29	30	31	32	33	34	36	37	38	39	40	41	43	44	45	48	49	50	51	53	55	57	58	59	60	61	62	63	65	66	67	68	69	70	71	72	73	74	75	77	81
Caregiver9:0	3	4	5	7	8	10	11	13	17	18	20	21	22	23	24	28	31	35	38	40	41	42	44	45	46	47	52	54	55	56	57	58	60	62	63	64	65	66	71	72	74	76	78	79	80	81									
Caregiver10:0	1	2	3	4	5	6	9	10	11	12	14	15	16	19	21	25	26	27	29	30	32	33	34	35	36	37	39	42	43	46	47	48	49	50	51	52	53	54	56	59	61	64	67	68	69	70	73	75	76	77	78	80	81		
Caregiver11:0	1	2	6	7	8	9	12	13	14	15	16	17	18	19	20	22	23	24	25	26	27	28	29	30	31	32	33	34	36	37	38	39	40	41	43	44	45	48	49	50	51	53	55	57	58	59	60	61	62	63	65	66	67	68	69	70	71	72	73	74	75	77	81
Caregiver12:0	1	2	3	4	5	6	9	10	11	12	14	15	16	19	21	25	26	27	29	30	32	33	34	35	36	37	39	42	43	46	47	48	49	50	51	52	53	54	56	59	61	64	67	68	69	70	73	75	76	77	78	80	81		
Caregiver13:0	1	2	6	9	12	14	15	16	19	25	26	27	29	30	32	33	34	36	37	39	43	48	49	50	51	53	59	61	67	68	69	70	73	75	77	81								
Caregiver14:0	3	4	5	10	11	21	35	42	46	47	52	54	56	64	76	78	80	81				
Caregiver15:0	1	2	3	4	5	6	9	10	11	12	14	15	16	19	21	25	26	27	29	30	32	33	34	35	36	37	39	42	43	46	47	48	49	50	51	52	53	54	56	59	61	64	67	68	69	70	73	75	76	77	78	80	81										
			
type of shift per day=2
number of days=7
Number of shitfs=14

Service time of node=
0	30	36	22	26	52	22	34	42	28	21	27	46	60	34	41	55	28	51	41	20	52	20	47	39	59	30	40	22	50	56	46	52	38	24	51	39	24	37	56	36	57	33	30	42	43	50	42	25	50	50	36	59	35	26	20	31	60	27	46	50	57	39	41	21	38	37	53	47	57	34	33	30	48	42	54	51	27	44	52	34	0

Time window for ptient matrix (day,patient) :first line alfa and second beta
0	0	0	889	605	703	0	0	0	0	0	0	0	0	480	780	990	780	586	940	628	0	0	0	0	0	971	0	0	0	529	0	669	0	640	0	0	828	0	954	0	0	975	0	0	0	0	0	532	780	875	843	0	0	780	0	691	0	480	0	876	0	780	0	0	480	780	0	0	0	610	0	999	875	0	0	0	0	928	499	823	0
0	0	0	1006	724	733	0	0	0	0	0	0	0	0	560	1080	1020	1080	616	970	727	0	0	0	0	0	1057	0	0	0	594	0	766	0	733	0	0	930	0	1037	0	0	1044	0	0	0	0	0	637	1080	905	924	0	0	1080	0	776	0	780	0	906	0	1080	0	0	780	1080	0	0	0	719	0	1029	968	0	0	0	0	1002	610	885	0
0	810	0	1005	780	0	0	0	711	0	0	0	0	665	0	780	0	996	0	844	0	0	0	659	0	0	572	483	0	0	0	480	0	0	0	0	0	0	1000	0	0	531	780	0	695	525	834	626	0	0	916	0	0	480	0	0	0	0	0	0	919	0	0	0	0	0	0	1000	655	0	0	862	780	0	845	580	0	1017	595	931	0	0
0	913	0	1080	1080	0	0	0	741	0	0	0	0	695	0	1080	0	1026	0	956	0	0	0	736	0	0	602	591	0	0	0	780	0	0	0	0	0	0	1030	0	0	603	898	0	762	592	864	656	0	0	1001	0	0	780	0	0	0	0	0	0	1006	0	0	0	0	0	0	1080	745	0	0	933	872	0	931	667	0	1047	625	1015	0	0
0	0	480	0	0	480	639	480	480	0	677	0	0	0	0	591	0	0	0	788	937	0	0	655	0	0	0	0	0	863	628	0	0	1009	0	0	631	0	979	0	540	0	0	618	631	0	960	0	0	980	0	0	780	914	938	0	0	0	780	0	0	0	530	0	611	0	0	834	0	0	0	0	480	614	920	0	663	891	780	0	0	0
0	0	780	0	0	780	669	586	780	0	707	0	0	0	0	621	0	0	0	885	1052	0	0	774	0	0	0	0	0	893	736	0	0	1039	0	0	661	0	1009	0	570	0	0	648	661	0	1044	0	0	1010	0	0	1080	944	1035	0	0	0	1080	0	0	0	560	0	726	0	0	944	0	0	0	0	780	703	994	0	693	973	1080	0	0	0
0	974	851	480	0	0	480	0	656	534	823	0	0	1015	601	480	0	0	591	0	0	480	0	0	887	780	0	0	556	506	0	0	0	705	0	780	780	0	0	0	0	0	0	0	0	780	971	480	923	0	480	986	811	0	0	872	572	0	822	0	0	0	0	1005	574	863	500	0	0	480	0	925	0	1015	0	0	0	0	0	816	0	0
0	1080	953	780	0	0	780	0	766	610	919	0	0	1045	679	780	0	0	621	0	0	780	0	0	1004	1080	0	0	630	625	0	0	0	735	0	1080	1080	0	0	0	0	0	0	0	0	1080	1001	780	1034	0	780	1080	897	0	0	902	690	0	897	0	0	0	0	1035	681	932	567	0	0	780	0	988	0	1045	0	0	0	0	0	895	0	0
0	0	0	0	0	958	0	0	0	837	480	0	944	0	0	0	780	0	0	0	988	0	518	0	0	780	0	0	1019	520	0	0	0	0	480	945	0	507	0	0	0	962	1013	480	0	0	0	498	0	811	0	0	600	0	878	652	503	900	0	0	886	650	0	0	501	929	0	483	902	0	0	662	0	0	722	0	1006	0	780	0	613	0
