Number of nodes= 17
Number of caregiver= 5 
Number of group=2 

Caregiver_cost=
108	123	165	102	119


	
Caregiver in group=
Group_1:1	2	4	5	
Group_2:3	
				


skill matrix=
Caregiver1: 0	1	2	7	8	9	10	11	12	13	14	15	16			
Caregiver2: 0	1	2	3	4	5	6	7	8	9	10	11	13	16		
Caregiver3: 0	1	2	3	4	5	6	7	8	9	10	11	13	14	15	16
Caregiver4: 0	2	3	4	5	6	8	9	10	11	12	13	14	16		
Caregiver5: 0	2	8	9	10	11	12	13	15	16						


type of shift per day=2
number of days=7
Number of shitfs=14

Service time of node=
0	22	25	24	56	57	20	60	56	55	27	60	28	26	24	44	0

Time window for ptient matrix (day,patient) :first line alfa and second beta
0	958	0	0	0	0	906	0	0	0	520	855	0	0	480	0	0
0	1022	0	0	0	0	936	0	0	0	617	885	0	0	780	0	0
0	0	0	996	780	866	0	480	0	0	0	0	642	841	0	0	0
0	0	0	1080	1080	950	0	780	0	0	0	0	708	871	0	0	0
0	0	943	0	0	535	480	0	0	0	676	0	0	0	0	870	0
0	0	1020	0	0	565	595	0	0	0	706	0	0	0	0	900	0
0	668	868	0	609	807	0	0	616	898	0	0	871	0	0	480	0
0	746	938	0	685	837	0	0	646	986	0	0	960	0	0	780	0
0	672	0	671	0	894	780	894	0	480	0	0	819	974	897	493	0
0	772	0	780	0	1009	1080	1003	0	780	0	0	849	1080	927	556	0
0	0	0	790	830	0	636	856	480	0	0	0	541	0	495	0	0
0	0	0	863	860	0	752	886	780	0	0	0	652	0	525	0	0
0	0	0	503	0	0	0	605	0	561	0	817	0	0	619	0	0
0	0	0	533	0	0	0	666	0	663	0	911	0	0	649	0	0



CII matrix(caregiver, patient)
0	9	8	0	0	0	0	6	6	9	10	10	6	6	10	7	0
0	10	8	7	8	6	7	8	8	7	9	10	0	8	0	0	0
0	7	7	3	7	5	3	4	5	3	3	7	0	4	5	5	0
0	0	10	7	8	7	8	0	10	9	8	6	6	9	8	0	0
0	0	6	0	0	0	0	0	6	8	7	8	7	9	0	10	0

travel time=
0	36	57	47	24	28	57	61	43	18	42	52	59	42	9	35	0
36	0	67	52	20	57	48	29	37	32	57	34	65	29	35	11	36
57	67	0	15	73	38	109	69	32	74	100	44	116	91	66	57	57
47	52	15	0	60	36	96	54	16	62	89	30	104	77	55	41	47
24	20	73	60	0	51	36	49	48	13	37	51	47	18	20	27	24
28	57	38	36	51	0	85	74	42	46	67	56	85	69	36	51	28
57	48	109	96	36	85	0	71	83	39	34	82	27	19	49	58	57
61	29	69	54	49	74	71	0	38	61	85	25	92	54	62	26	61
43	37	32	16	48	42	83	38	0	54	82	15	95	64	49	26	43
18	32	74	62	13	46	39	61	54	0	28	60	42	26	10	37	18
42	57	100	89	37	67	34	85	82	28	0	87	19	36	34	64	42
52	34	44	30	51	56	82	25	15	60	87	0	98	63	57	24	52
59	65	116	104	47	85	27	92	95	42	19	98	0	38	50	74	59
42	29	91	77	18	69	19	54	64	26	36	63	38	0	35	39	42
9	35	66	55	20	36	49	62	49	10	34	57	50	35	0	37	9
35	11	57	41	27	51	58	26	26	37	64	24	74	39	37	0	35
0	36	57	47	24	28	57	61	43	18	42	52	59	42	9	35	0

	
