Number of nodes= 27
Number of caregiver= 9
Number of group=2 

Caregiver_cost=
122	156	131	117	109	130	117	114	142


Caregiver in group=
Group_1:1	4	5	6	7	8
Group_2:2	3	9			
	

				
skill matrix=
Caregiver1:0	1	4	5	6	9	15	16	17	18	22	24	25	26					
Caregiver2:0	1	2	3	6	7	8	10	11	12	13	14	15	18	19	20	21	23	26
Caregiver3:0	4	5	8	9	16	17	19	20	21	22	23	24	25	26				
Caregiver4:0	4	5	9	16	17	22	24	25	26		
Caregiver5:0	4	5	7	9	11	13	16	17	22	24	25	26						
Caregiver6:0	3	8	19	20	21	26					
Caregiver7:0	4	5	9	12	14	16	17	22	24	25	26							
Caregiver8:0	2	4	5	9	10	16	17	22	24	25	26							
Caregiver9:0	1	2	3	6	7	8	10	11	12	13	14	15	18	19	20	21	23	26
	
		
	
type of shift per day=2
number of days=7
Number of shitfs=14

Service time of node=
0	57	28	24	45	27	22	31	25	33	22	27	40	51	41	41	57	20	55	28	37	24	43	49	29	21	0

Time window for ptient matrix (patient,shift) :first line alfa and second beta
0	480	975	0	0	0	0	0	619	966	0	0	0	0	0	0	480	565	0	0	928	0	0	0	0	480	0
0	570	1072	0	0	0	0	0	721	996	0	0	0	0	0	0	780	655	0	0	1023	0	0	0	0	780	0
0	0	0	0	0	0	0	0	0	698	480	0	780	890	0	714	0	0	912	480	937	667	0	523	573	0	0
0	0	0	0	0	0	0	0	0	780	780	0	1080	920	0	744	0	0	942	780	999	741	0	553	661	0	0
0	0	0	0	0	0	0	480	630	0	958	0	0	0	0	0	606	0	0	780	0	811	0	0	0	0	0
0	0	0	0	0	0	0	578	660	0	1074	0	0	0	0	0	636	0	0	1080	0	841	0	0	0	0	0
0	0	0	546	0	943	0	606	676	0	588	823	0	0	0	0	480	539	666	687	0	0	595	780	0	0	0
0	0	0	576	0	973	0	726	780	0	680	853	0	0	0	0	780	604	696	717	0	0	698	1080	0	0	0
0	0	0	970	563	0	0	878	0	0	0	0	0	780	799	594	0	0	480	0	780	0	849	0	0	0	0
0	0	0	1077	627	0	0	953	0	0	0	0	0	1080	907	708	0	0	780	0	872	0	960	0	0	0	0
0	661	780	0	677	0	796	828	0	0	0	950	644	0	523	0	0	0	960	0	0	832	721	0	0	0	0
0	691	1080	0	750	0	826	897	0	0	0	1053	674	0	553	0	0	0	990	0	0	924	751	0	0	0	0
0	0	0	0	0	616	780	0	0	0	984	0	0	509	0	780	0	0	0	0	780	631	0	0	669	847	0
0	0	0	0	0	686	896	0	0	0	1014	0	0	609	0	1080	0	0	0	0	1080	721	0	0	699	948	0



CII matrix(caregiver, patient)
0	10	0	0	6	8	6	0	0	9	0	0	0	0	0	10	7	9	8	0	0	0	6	0	8	6	0
0	7	4	7	0	0	7	4	5	0	4	3	3	7	6	3	0	0	7	6	4	6	0	5	0	0	0
0	0	0	0	7	7	0	0	7	3	0	0	0	0	0	0	5	6	0	4	6	5	6	5	3	5	0
0	0	0	0	8	8	0	0	0	8	0	0	0	0	0	0	9	10	0	0	0	0	6	0	7	9	0
0	0	0	0	9	9	0	8	0	7	0	9	0	9	0	0	7	10	0	0	0	0	10	0	6	7	0
0	0	0	7	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	10	8	0	0	0	0	0
0	0	0	0	6	10	0	0	0	9	0	0	6	0	6	0	9	8	0	0	0	0	9	0	7	10	0
0	0	9	0	10	7	0	0	0	7	7	0	0	0	0	0	9	8	0	0	0	0	10	0	9	6	0
0	5	7	5	0	0	6	7	6	0	4	3	3	4	5	5	0	0	6	3	5	6	0	4	0	0	0


travel time=
0	37	31	43	52	42	46	33	56	62	59	53	25	46	41	19	21	73	48	55	67	38	44	42	40	39	0
37	0	57	58	40	60	82	46	82	94	92	48	32	83	22	25	36	101	84	19	98	75	24	44	10	74	37
31	57	0	72	47	70	51	64	78	38	38	84	27	43	69	32	52	44	40	71	82	39	49	73	64	52	31
43	58	72	0	90	4	52	12	28	93	87	29	66	62	42	57	25	107	68	75	48	56	77	19	53	40	43
52	40	47	90	0	90	93	78	107	83	85	86	27	88	61	34	65	84	86	39	119	82	16	80	50	90	52
42	60	70	4	90	0	48	15	24	89	84	33	66	59	45	57	25	104	64	78	44	52	78	23	55	36	42
46	82	51	52	93	48	0	54	38	50	42	78	67	14	79	63	52	66	21	100	33	13	88	66	83	12	46
33	46	64	12	78	15	54	0	38	89	84	25	55	62	31	45	13	102	67	63	57	55	65	12	41	42	33
56	82	78	28	107	24	38	38	0	87	80	56	81	52	69	74	46	103	59	100	21	48	97	47	78	29	56
62	94	38	93	83	89	50	89	87	0	8	113	65	35	102	69	80	16	29	109	82	39	87	100	100	58	62
59	92	38	87	85	84	42	84	80	8	0	108	65	28	99	67	76	24	21	108	74	32	87	96	98	51	59
53	48	84	29	86	33	78	25	56	113	108	0	69	87	26	59	33	125	91	60	76	79	71	12	39	66	53
25	32	27	66	27	66	67	55	81	65	65	69	0	62	48	10	42	70	62	44	92	56	23	60	40	63	25
46	83	43	62	88	59	14	62	52	35	28	87	62	0	84	61	57	51	7	101	47	8	85	74	86	24	46
41	22	69	42	61	45	79	31	69	102	99	26	48	84	0	39	27	112	87	34	88	76	46	25	13	69	41
19	25	32	57	34	57	63	45	74	69	67	59	10	61	39	0	32	76	61	41	86	54	25	50	33	57	19
21	36	52	25	65	25	52	13	46	80	76	33	42	57	27	32	0	92	61	54	62	49	53	21	33	41	21
73	101	44	107	84	104	66	102	103	16	24	125	70	51	112	76	92	0	45	114	98	55	90	113	108	74	73
48	84	40	68	86	64	21	67	59	29	21	91	62	7	87	61	61	45	0	101	53	12	85	79	88	30	48
55	19	71	75	39	78	100	63	100	109	108	60	44	101	34	41	54	114	101	0	117	93	25	59	22	92	55
67	98	82	48	119	44	33	57	21	82	74	76	92	47	88	86	62	98	53	117	0	46	111	67	96	30	67
38	75	39	56	82	52	13	55	48	39	32	79	56	8	76	54	49	55	12	93	46	0	79	67	78	19	38
44	24	49	77	16	78	88	65	97	87	87	71	23	85	46	25	53	90	85	25	111	79	0	66	34	83	44
42	44	73	19	80	23	66	12	47	100	96	12	60	74	25	50	21	113	79	59	67	67	66	0	37	55	42
40	10	64	53	50	55	83	41	78	100	98	39	40	86	13	33	33	108	88	22	96	78	34	37	0	74	40
39	74	52	40	90	36	12	42	29	58	51	66	63	24	69	57	41	74	30	92	30	19	83	55	74	0	39
0	37	31	43	52	42	46	33	56	62	59	53	25	46	41	19	21	73	48	55	67	38	44	42	40	39	0
